Total reads,Chain strength,Anneal time,QPU time,Lowest energy,Chain break fraction
100,11.915569014597928,20.0,42165.56,-479.219895324757,0.0017699115044247787
200,11.915569014597928,20.0,68565.56,-475.6402647049177,0.0035398230088495575
200,11.915569014597928,20.0,68565.56,-478.8104513498779,0.0035398230088495575
200,11.915569014597928,20.0,68565.56,-501.47679351099237,0.0017699115044247787
200,11.915569014597928,20.0,68565.56,-477.2641463001271,0.0017699115044247787
300,11.915569014597928,20.0,94965.56,-464.9696329415406,0.0017699115044247787
300,11.915569014597928,20.0,94965.56,-517.5069442442526,0.0017699115044247787
300,11.915569014597928,20.0,94965.56,-475.54921931506493,0.0017699115044247787
300,11.915569014597928,20.0,94965.56,-498.42257529524085,0.0017699115044247787
400,11.915569014597928,20.0,121365.56,-494.2371112364498,0.0017699115044247787
400,11.915569014597928,20.0,121365.56,-462.62546540879526,0.0017699115044247787
400,11.915569014597928,20.0,121365.56,-485.9479190114319,0.0017699115044247787
400,11.915569014597928,20.0,121365.56,-490.6767522299414,0.0
500,11.915569014597928,20.0,147765.56,-481.0732784857154,0.0017699115044247787
500,11.915569014597928,20.0,147765.56,-517.3707389585364,0.0017699115044247787
500,11.915569014597928,20.0,147765.56,-487.15158038060406,0.0017699115044247787
500,11.915569014597928,20.0,147765.56,-493.9814989843689,0.0017699115044247787
600,11.915569014597928,20.0,174165.56,-487.18476272164855,0.0017699115044247787
600,11.915569014597928,20.0,174165.56,-467.7759806455279,0.0017699115044247787
600,11.915569014597928,20.0,174165.56,-512.836531971062,0.0017699115044247787
600,11.915569014597928,20.0,174165.56,-495.9524097471097,0.0017699115044247787
700,11.915569014597928,20.0,200565.56,-510.98679143558724,0.0017699115044247787
700,11.915569014597928,20.0,200565.56,-503.481225544931,0.0
700,11.915569014597928,20.0,200565.56,-486.9577695644664,0.0017699115044247787
700,11.915569014597928,20.0,200565.56,-485.2847630380677,0.0017699115044247787
800,11.915569014597928,20.0,226965.56,-498.0361443133955,0.0017699115044247787
800,11.915569014597928,20.0,226965.56,-478.9668622797909,0.0017699115044247787
800,11.915569014597928,20.0,226965.56,-488.3202689645256,0.0017699115044247787
800,11.915569014597928,20.0,226965.56,-485.03357664389034,0.0017699115044247787
900,11.915569014597928,20.0,253365.56,-496.8564186041499,0.0017699115044247787
900,11.915569014597928,20.0,253365.56,-491.22112484400344,0.0017699115044247787
900,11.915569014597928,20.0,253365.56,-513.3027729224599,0.0017699115044247787
900,11.915569014597928,20.0,253365.56,-488.85335891731114,0.0017699115044247787
1000,11.915569014597928,20.0,279765.56,-503.3865132397317,0.0017699115044247787
1000,11.915569014597928,20.0,279765.56,-536.9343121419121,0.0017699115044247787
1000,11.915569014597928,20.0,279765.56,-500.1630976129768,0.0017699115044247787
1000,11.915569014597928,20.0,279765.56,-492.33179666839186,0.0035398230088495575
1100,11.915569014597928,20.0,306166.36,-548.1907972525055,0.0017699115044247787
1100,11.915569014597928,20.0,306166.36,-515.5693205169446,0.0017699115044247787
1100,11.915569014597928,20.0,306166.36,-537.0630140038134,0.0017699115044247787
1100,11.915569014597928,20.0,306166.36,-511.29490002699083,0.0017699115044247787
1200,11.915569014597928,20.0,332566.36,-496.6321790933326,0.0017699115044247787
1200,11.915569014597928,20.0,332566.36,-506.49655082544496,0.0017699115044247787
1200,11.915569014597928,20.0,332566.36,-513.7988970611123,0.0035398230088495575
1200,11.915569014597928,20.0,332566.36,-513.8483653746264,0.0017699115044247787
1300,11.915569014597928,20.0,358966.36,-526.7689163222921,0.0017699115044247787
1300,11.915569014597928,20.0,358966.36,-500.2437210101076,0.0017699115044247787
1300,11.915569014597928,20.0,358966.36,-522.4360840193502,0.0017699115044247787
1300,11.915569014597928,20.0,358966.36,-528.470428733908,0.0017699115044247787
1400,11.915569014597928,20.0,385366.36,-516.2250263648029,0.0017699115044247787
1400,11.915569014597928,20.0,385366.36,-520.1550175211424,0.0017699115044247787
1400,11.915569014597928,20.0,385366.36,-518.0607708715241,0.0017699115044247787
1400,11.915569014597928,20.0,385366.36,-527.9442494825123,0.0017699115044247787
1500,11.915569014597928,20.0,411766.36,-524.7854307763182,0.0035398230088495575
1500,11.915569014597928,20.0,411766.36,-532.7226853030544,0.0017699115044247787
1500,11.915569014597928,20.0,411766.36,-521.208458815509,0.0017699115044247787
1500,11.915569014597928,20.0,411766.36,-531.8162838906359,0.0017699115044247787
1600,11.915569014597928,20.0,438166.36,-511.3880285450183,0.0017699115044247787
1600,11.915569014597928,20.0,438166.36,-498.0682124277592,0.0017699115044247787
1600,11.915569014597928,20.0,438166.36,-536.6105186608712,0.0017699115044247787
1600,11.915569014597928,20.0,438166.36,-541.1205016630774,0.0017699115044247787
1700,11.915569014597928,20.0,464566.36,-524.3340800699735,0.0035398230088495575
1700,11.915569014597928,20.0,464566.36,-534.7738702695212,0.0017699115044247787
1700,11.915569014597928,20.0,464566.36,-531.5272532029643,0.0017699115044247787
1700,11.915569014597928,20.0,464566.36,-514.5665885824154,0.0017699115044247787
1800,11.915569014597928,20.0,490966.36,-525.2122585254855,0.0017699115044247787
1800,11.915569014597928,20.0,490966.36,-504.23963773942,0.0017699115044247787
1800,11.915569014597928,20.0,490966.36,-531.9744355434614,0.0017699115044247787
1800,11.915569014597928,20.0,490966.36,-526.6969345093509,0.0017699115044247787
1900,11.915569014597928,20.0,517366.36,-531.5953020650538,0.0017699115044247787
1900,11.915569014597928,20.0,517366.36,-517.7635805345142,0.0035398230088495575
1900,11.915569014597928,20.0,517366.36,-509.00185518472125,0.0017699115044247787
1900,11.915569014597928,20.0,517366.36,-515.6628347462969,0.0035398230088495575
2000,11.915569014597928,20.0,543766.36,-520.3152606938028,0.0017699115044247787
2000,11.915569014597928,20.0,543766.36,-514.1377501897701,0.0017699115044247787
2000,11.915569014597928,20.0,543766.36,-520.005580712136,0.0017699115044247787
2000,11.915569014597928,20.0,543766.36,-517.1612809698022,0.0017699115044247787
