Node multiplier,Edge multiplier,Lowest energy,Chain break fraction,Duplicates,Overlaps
5,2,-20.8299780194654,0.0031496062992125984,3,58
5,3,-19.883399259430167,0.004724409448818898,1,28
5,4,18.093173321193394,0.0015748031496062992,0,32
5,5,28.852980321079144,0.007874015748031496,0,24
5,6,-7.6676757656918095,0.006299212598425197,1,14
5,7,19.318019755337417,0.026771653543307086,1,6
5,8,19.806882708423444,0.011023622047244094,3,4
5,9,34.118096841765094,0.014173228346456693,2,6
6,1,-34.05041229388714,0.0031496062992125984,2,120
6,2,21.76927879231141,0.0015748031496062992,1,74
6,3,40.99146513239829,0.0015748031496062992,2,38
6,4,41.694689536635906,0.006299212598425197,3,24
6,5,30.934684487024363,0.009448818897637795,0,20
6,6,17.35750979572316,0.004724409448818898,1,14
6,7,27.490685086241832,0.011023622047244094,1,10
6,8,9.367802805363114,0.014173228346456693,1,8
6,9,4.561380187508663,0.015748031496062992,0,6
7,1,-11.9678107668636,0.0015748031496062992,2,150
7,2,22.97872074574029,0.0015748031496062992,1,90
7,3,51.11150601318161,0.0015748031496062992,1,52
7,4,42.0473377493811,0.004724409448818898,0,28
7,5,41.37337436700696,0.009448818897637795,1,10
7,6,27.551477200947357,0.0031496062992125984,1,14
7,7,36.84320531675229,0.009448818897637795,0,16
7,8,32.60255830244239,0.014173228346456693,2,6
7,9,35.93999400782508,0.015748031496062992,2,8
8,1,23.37499845043667,0.0015748031496062992,2,104
8,2,55.916956611526444,0.004724409448818898,2,84
8,3,77.63461347696963,0.004724409448818898,0,52
8,4,55.363279407091895,0.0015748031496062992,2,36
8,5,85.64031302084851,0.0031496062992125984,1,24
8,6,65.97087911311831,0.004724409448818898,1,22
8,7,86.22253519210744,0.004724409448818898,0,12
8,8,40.822293265511476,0.007874015748031496,1,8
8,9,66.20123311778835,0.015748031496062992,1,10
9,1,29.78954485600625,0.0031496062992125984,2,138
9,2,79.33635852369954,0.0015748031496062992,0,88
9,3,64.48583565601102,0.0,1,48
9,4,79.6876446938564,0.0015748031496062992,0,32
9,5,91.73309024259116,0.006299212598425197,0,24
9,6,88.80825082738497,0.004724409448818898,1,20
9,7,72.7061526155109,0.009448818897637795,1,14
9,8,77.03873281428942,0.014173228346456693,1,10
9,9,73.07472939065788,0.009448818897637795,1,12
10,1,-7.925468659069555,0.0031496062992125984,1,130
10,2,97.91962278195348,0.0015748031496062992,2,96
10,3,120.17366624684702,0.0,0,78
10,4,99.17301418292234,0.0031496062992125984,1,38
10,5,82.0451484132052,0.0031496062992125984,0,34
10,6,105.85992000168197,0.004724409448818898,0,24
10,7,103.34942894231756,0.0015748031496062992,0,24
10,8,123.70758472558738,0.007874015748031496,1,18
10,9,77.65027999852774,0.009448818897637795,1,10
10,10,105.7987378638996,0.006299212598425197,0,10
1,10,-15.765308494038486,0.031496062992125984,12,0
2,10,13.699410984632497,0.03779527559055118,5,2
3,10,21.94989699438679,0.03307086614173228,5,2
4,10,11.388132860173318,0.03779527559055118,3,2
5,10,16.837115749795537,0.01889763779527559,2,2
6,10,16.33258627515127,0.01732283464566929,3,0
7,10,18.949896994387043,0.01732283464566929,0,6
8,10,50.14419043157147,0.012598425196850394,0,6
9,10,32.358289841879824,0.014173228346456693,1,4
10,10,79.21100812211425,0.006299212598425197,0,12
11,1,-16.08363146127124,0.0015748031496062992,2,114
11,2,76.59655554666256,0.0015748031496062992,0,114
11,3,116.74475137119364,0.0,2,52
11,4,130.07720358773472,0.0031496062992125984,0,50
11,5,78.72208117791246,0.0015748031496062992,0,30
11,6,61.93132508161606,0.0031496062992125984,0,20
11,7,72.20207715506359,0.004724409448818898,1,14
11,8,92.81874188675087,0.006299212598425197,3,14
11,9,35.2201310625221,0.011023622047244094,0,12
11,10,79.94647359786114,0.011023622047244094,0,12
11,11,103.53368533433263,0.0015748031496062992,1,12
11,12,-4.851868166587778,0.011023622047244094,0,4
12,1,11.759765828828037,0.0015748031496062992,1,150
12,2,117.64738068368473,0.0031496062992125984,0,116
12,3,161.97445938831208,0.0015748031496062992,2,66
12,4,162.35812068858442,0.0,0,56
12,5,147.53997295101377,0.0031496062992125984,1,34
12,6,152.21070491021104,0.004724409448818898,2,28
12,7,116.75860183596652,0.004724409448818898,0,22
12,8,139.79486045317609,0.0031496062992125984,1,24
12,9,58.71553759675885,0.007874015748031496,0,14
12,10,134.03919290485663,0.004724409448818898,0,18
12,11,87.00267224680255,0.007874015748031496,1,6
12,12,34.63900889300493,0.012598425196850394,1,2
1,11,14.954298486795913,0.04094488188976378,7,2
1,12,-5.755015484398383,0.04094488188976378,9,0
2,11,26.281959187851932,0.047244094488188976,3,2
2,12,9.857963809918804,0.04409448818897638,7,0
3,11,14.572127211344466,0.028346456692913385,2,2
3,12,8.633373340244699,0.04251968503937008,3,0
4,11,18.46006202179192,0.029921259842519685,4,2
4,12,-5.341767130301008,0.025196850393700787,3,2
5,11,-1.1174387014702738,0.023622047244094488,2,4
5,12,22.775869620895058,0.028346456692913385,1,2
6,11,27.91875592462344,0.01889763779527559,2,0
6,12,-3.964259388101876,0.031496062992125984,0,2
7,11,13.025901616453943,0.01889763779527559,1,4
7,12,6.092067243076563,0.01732283464566929,2,2
8,11,31.378811870042384,0.01889763779527559,2,6
8,12,44.358743856075236,0.014173228346456693,2,2
9,11,19.944587473585802,0.014173228346456693,0,0
9,12,51.154355458976056,0.01732283464566929,0,6
10,11,76.77814576824629,0.006299212598425197,0,8
10,12,36.24596261148332,0.015748031496062992,2,2
11,11,86.03821480897687,0.012598425196850394,0,14
11,12,101.1460765558461,0.009448818897637795,0,6
12,11,130.013879361207,0.007874015748031496,0,16
12,12,104.34450944459405,0.014173228346456693,1,6
